iata_code,name,latitude_deg,longitude_deg
UTK,Utirik Airport,11.222,169.852005
OCA,Ocean Reef Club Airport,25.325399398804,-80.274803161621
PQS,Pilot Station Airport,61.934601,-162.899994
CSE,Buckhorn Ranch Airport,38.8518981934,-106.93282
JCY,LBJ Ranch Airport,30.2518005371,-98.6224975586
PMX,Metropolitan Airport,42.2233009338,-72.3114013672
WLR,Loring Seaplane Base,55.6012992859,-131.636993408
NUP,Nunapitchuk Airport,60.905591,-162.440454
PTC,Port Alice Seaplane Base,55.803,-133.597
ICY,Icy Bay Airport,59.96900177,-141.662002563
PPV,Port Protection Seaplane Base,56.328800201416,-133.61000061035
KKK,Kalakaket Creek AS Airport,64.4166256967,-156.820392609
MHS,Dunsmuir Muni-Mott Airport,41.263199,-122.272003
ELW,Ellamar Seaplane Base,60.893818,-146.704038
LVD,Lime Village Airport,61.3591003418,-155.440002441
FIV,Five Finger CG Heliport,57.2699012756,-133.630996704
HGZ,Hog River Airport,66.2161026,-155.6690063
OTN,Ed-Air Airport,38.851398468,-87.4997024536
TLF,Telida Airport,63.393901824951,-153.26899719238
BZT,Eagle Air Park,28.982200622559,-95.579696655273
HBH,Entrance Island Seaplane Base,57.412201,-133.43848
FAK,False Island Seaplane Base,57.5321998596,-135.212997437
BYW,Blakely Island Airport,48.5789985657,-122.825996399
DRF,Drift River Airport,60.5889015198,-152.162002563
BDF,Rinkenberger Restricted Landing Area,41.2308998108,-89.6156997681
VRS,Roy Otten Memorial Airfield,38.427799224854,-92.875198364258
GDH,Golden Horn Lodge Seaplane Base,59.7470016479,-158.875
ATT,Atmautluak Airport,60.866699,-162.272995
LIV,Livengood Camp Airport,65.467,-148.6534
PDB,Pedro Bay Airport,59.7896003723,-154.12399292
KOZ,Ouzinkie Airport,57.925362,-152.496715
TNK,Tununak Airport,60.575500488281,-165.27200317383
EVA,Ben Bruce Memorial Airpark,30.3209991455,-94.0735015869
WHD,Hyder Seaplane Base,55.903324,-130.009975
TKI,Tokeen Seaplane Base,55.9370994568,-133.32699585
WKK,Aleknagik / New Airport,59.2826004028,-158.617996216
WFB,Ketchikan Harbor Seaplane Base,55.349899,-131.677002
NNK,Naknek Airport,58.732898712158,-157.02000427246
BKF,Lake Brooks Seaplane Base,58.554798126221,-155.77699279785
FOP,Fort Gillem Heliport,33.6150016785,-84.3463973999
BCS,Southern Seaplane Airport,29.8661003113,-90.0222015381
SPQ,Catalina Air-Sea Terminal Heliport,33.7491989136,-118.275001526
TSS,East 34th Street Heliport,40.7425994873047,-73.9720993041992
QNY,New York Skyports Inc Seaplane Base,40.734001,-73.9729
BWL,Earl Henry Airport,36.7958984375,-97.3170013428
WYB,Yes Bay Lodge Seaplane Base,55.9163017273,-131.800994873
CWS,Center Island Airport,48.4901008606,-122.832000732
TEK,Tatitlek Airport,60.871449,-146.690297
DUF,Pine Island Airport,36.2535018921,-75.7884979248
SSW,Stuart Island Airpark,48.672901153564,-123.17600250244
FOB,Fort Bragg Airport,39.4743003845,-123.79599762
PUL,Port of Poulsbo Marina Moorage Seaplane Base,47.734001159668,-122.64700317383
CCD,Century City Heliport,34.060798645,-118.417999268
WMK,Meyers Chuck Seaplane Base,55.7396011353,-132.255004883
AXB,Maxson Airfield,44.312002,-75.90034
REE,Reese Airpark,33.590301513672,-102.03700256348
WDN,Waldronaire Airport,48.7117996216,-123.017997742
WWP,North Whale Seaplane Base,56.1162986755,-133.121994019
CHU,Chuathbaluk Airport,61.579102,-159.216003
UGS,Ugashik Airport,57.5279006958,-157.399002075
PSQ,Philadelphia Seaplane Base,39.859001159668,-75.299598693848
KLL,Levelock Airport,59.1281013489,-156.85899353
SGW,Saginaw Seaplane Base,56.8862991333,-134.158004761
WTL,Tuntutuliak Airport,60.3353004456,-162.667007446
TWA,Twin Hills Airport,59.07559967041,-160.27299499512
KCQ,Chignik Lake Airport,56.2550010681,-158.774993896
AAD,Adado Airport,6.095802,46.6375
ABP,Atkamba Airport,-6.06555555556,141.095277778
ABW,Abau Airport,-10.1956,148.7389
ALV,Andorra la Vella Heliport,42.511174,1.533551
ADC,Andakombe Airport,-7.13722222222,145.744722222
ADV,El Daein Airport,11.4023,26.1186
DJH,Jebel Ali Seaplane Base,24.988967,55.023796
AEE,Adareil Airport,10.0536111111,32.9594444444
AEI,Algeciras Heliport,36.12888,-5.441118
AEK,Aseki Airport,-7.35080485552,146.19386673
URZ,Orūzgān Airport,32.9029998779,66.630897522
OLR,Salerno Landing Zone Airport,33.3638000488,69.9561004639
AFK,Kondavattavana Tank Seaplane Base,7.284,81.644
AFR,Afore Airstrip,-9.14222222222,148.390833333
AFT,Afutara Aerodrome,-9.19138888889,160.948611111
RNA,Ulawa Airport,-9.86054358262,161.979546547
ATD,Uru Harbour Airport,-8.87333,161.011002
VEV,Barakoma Airport,-7.91277980804443,156.705993652344
GEF,Geva Airport,-7.57582998275757,156.59700012207
AGG,Angoram Airport,-4.05583333333,144.073888889
AKS,Auki Airport,-8.70256996155,160.682006836
BNY,Bellona/Anua Airport,-11.3022222222,159.798333333
CHY,Choiseul Bay Airport,-6.711944,156.396111
BAS,Ballalae Airport,-6.990745,155.886656
FRE,Fera/Maringe Airport,-8.1075,159.576996
HIR,Honiara International Airport,-9.4280004501343,160.05499267578
MBU,Babanakira Airport,-9.7475004196167,159.839004516602
AVU,Avu Avu Airport,-9.86833333333,160.410555556
IRA,Ngorangora Airport,-10.4497003555,161.897994995
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,-10.7202997207642,165.794998168945
MUA,Munda Airport,-8.32796955108643,157.263000488281
GZO,Nusatupe Airport,-8.09778022766,156.863998413
MNY,Mono Airport,-7.41694021224976,155.565002441406
PRS,Parasi Airport,-9.64167022705078,161.425003051758
OTV,Ontong Java Atoll Airstrip,-5.515,159.527777778
RNL,Rennell/Tingoa Airport,-11.5339002609253,160.063003540039
EGM,Sege Airport,-8.57888984680176,157.876007080078
NNB,Santa Ana Airport,-10.847994,162.454108
RUS,Marau Airport,-9.86166954041,160.824996948
VAO,Suavanao Airport,-7.5855598449707,158.731002807617
XYA,Yandina Airport,-9.092816,159.21841
AGK,Kagua Airport,-6.39638888889,143.853611111
KGE,Kaghau Airport,-7.3305,157.585
KUE,Kukudu Airport,-8.0262,156.94783
KWS,Kwailabesi Airport,-8.360508,160.775127
AGL,Wanigela Airport,-9.3375,149.155555556
NAZ,Nana Airport,-10.6758,162.2049
RIN,Ringi Cove Airport,-8.12639045715332,157.143005371094
RBV,Ramata Airport,-8.16806030273438,157.643005371094
TLG,Tulaghi Heliport,-9.108,160.149166667
AGY,Argyle Downs Airport,-16.514,128.9245
AHJ,Hongyuan Airport,32.53154,102.35224
AHT,Amchitka Army Airfield,51.3777777778,179.259166667
AHY,Ambatolhy Airport,-20.0158333333,45.535
AIE,Aiome Airport,-5.145699978,144.7307003
AIH,Aiambak Airport,-7.34277777778,141.2675
AIC,Ailinglaplap Airok Airport,7.279422,168.8257
CEX,Chena Hot Springs Airport,65.0518035889,-146.04699707
SOL,Solomon State Field,64.5605,-164.4457
HED,Herendeen Bay Airport,55.801399231,-160.899002075
TWE,Taylor Airport,65.6792984009,-164.798995972
KTH,Tikchik Lodge Seaplane Base,59.9631996155,-158.477005005
NKI,Naukati Bay Seaplane Base,55.849602,-133.227994
LNI,Lonely Air Station,70.91069794,-153.2420044
CDL,Candle 2 Airport,65.907699585,-161.925994873
